Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
USEP,1140,0,0.00,0,0.00,30.48,1140,0
IMFL,1131,0,0.00,0,0.00,24.10,1131,0
BMAY,1102,0,0.00,0,0.00,32.72,1102,0
DJUL,1099,0,0.00,0,0.00,35.42,1099,0
UMAY,1087,0,0.00,0,0.00,28.78,1087,0
DFND,1085,0,0.00,0,0.00,38.51,1085,0
GFEB,1085,0,0.00,0,0.00,32.23,1085,0
HYIN,1078,0,0.00,0,0.00,18.20,1078,0
IBMQ,1063,0,0.00,0,0.00,25.21,1063,0
XMPT,1061,0,0.00,0,0.00,20.50,1061,0
GAA,1046,0,0.00,0,0.00,27.02,1046,0
QMAR,1042,0,0.00,0,0.00,25.20,1042,0
JPLD,1024,0,0.00,0,0.00,50.29,1024,0
QJUN,1018,0,0.00,0,0.00,23.28,1018,0
BOCT,1004,0,0.00,0,0.00,37.35,1004,0
BAMY,1002,0,0.00,0,0.00,25.79,1002,0
BKGI,1000,0,0.00,0,0.00,27.66,1000,0
IDUB,986,0,0.00,0,0.00,19.69,986,0
TTAC,980,0,0.00,0,0.00,54.04,680,300
LQDI,973,0,0.00,0,0.00,25.44,973,0
GHYG,959,0,0.00,0,0.00,42.92,959,0
UAUG,945,0,0.00,0,0.00,29.75,945,0
VAMO,945,0,0.00,0,0.00,26.03,945,0
JCPI,943,0,0.00,0,0.00,45.71,943,0
MDLV,932,0,0.00,0,0.00,23.58,932,0
VCEB,932,0,0.00,0,0.00,61.48,932,0
OSCV,920,0,0.00,0,0.00,31.57,920,0
HFGO,912,0,0.00,0,0.00,15.96,912,0
EDEN,910,0,0.00,0,0.00,106.03,910,0
NETZ,907,0,0.00,0,0.00,54.27,907,0
EWUS,895,0,0.00,0,0.00,32.29,895,0
GVAL,894,0,0.00,0,0.00,20.70,894,0
ZALT,876,0,0.00,0,0.00,26.36,876,0
FDEC,855,0,0.00,0,0.00,37.31,855,0
GOCT,843,0,0.00,0,0.00,31.73,843,0
UOCT,842,0,0.00,0,0.00,31.64,842,0
MOHR,835,0,0.00,0,0.00,19.10,835,0
XBJL,823,0,0.00,0,0.00,29.89,823,0
APRD,818,0,0.00,0,0.00,25.16,818,0
MSVX,799,0,0.00,0,0.00,24.36,699,100
RODE,792,0,0.00,0,0.00,25.90,792,0
XBTF,786,0,0.00,0,0.00,35.98,786,0
FSMO,783,0,0.00,0,0.00,21.64,783,0
WDNA,779,0,0.00,0,0.00,15.18,779,0
DOCT,778,0,0.00,0,0.00,35.61,778,0
XDEC,772,0,0.00,0,0.00,33.79,772,0
ADME,757,0,0.00,0,0.00,37.17,757,0
BUFT,753,0,0.00,0,0.00,20.48,753,0
BJUL,738,0,0.00,0,0.00,36.21,738,0
